postcode,sector,average_household
E5 0PL,E5 0,19.0
GU10 2JT,GU10 2,6.0
BH25 7NT,BH25 7,12.0
PO18 8XJ,PO18 8,9.0
HP21 7LU,HP21 7,11.0
SL6 9HR,SL6 9,7.0
RH8 0DW,RH8 0,12.0
NW4 4WP,NW4 4,9.0
IG6 2UD,IG6 2,15.0
N16 5EF,N16 5,16.0
GU8 5EA,GU8 5,10.0
UB3 4EE,UB3 4,12.0
CM4 0PG,CM4 0,7.0
RG45 6JN,RG45 6,10.0
RM8 1BX,RM8 1,15.0
N16 7SA,N16 7,17.0
RM14 1BQ,RM14 1,16.0
E7 0LJ,E7 0,17.0
DA12 4SQ,DA12 4,22.0
PO5 3HR,PO5 3,12.0
CT21 5BH,CT21 5,10.0
OX44 9AW,OX44 9,8.0
KT5 9ES,KT5 9,17.0
SE20 8SL,SE20 8,15.0
RG24 8UF,RG24 8,12.0
SW4 9PJ,SW4 9,10.0
WC1N 3LN,WC1N 3,6.0
CT16 2SE,CT16 2,18.0
SO41 9JY,SO41 9,9.0
ME15 9RN,ME15 9,12.0
PO6 1JL,PO6 1,13.0
SW9 6XW,SW9 6,8.0
NW3 2UB,NW3 2,16.0
SL7 1LQ,SL7 1,8.0
OX12 9HJ,OX12 9,10.0
W2 1PB,W2 1,9.0
SO19 7GP,SO19 7,16.0
SL4 4EL,SL4 4,11.0
RG21 5SA,RG21 5,17.0
BN1 1FL,BN1 1,3.0
RG23 8EW,RG23 8,14.0
GU6 8AQ,GU6 8,7.0
DA11 9BN,DA11 9,15.0
HA2 9BY,HA2 9,16.0
BN6 9XS,BN6 9,9.0
N19 3DA,N19 3,16.0
EN4 8PZ,EN4 8,14.0
W8 4JF,W8 4,7.0
W1T 6ER,W1T 6,1.0
TW15 1BF,TW15 1,12.0
BN3 4JS,BN3 4,15.0
SO40 9GW,SO40 9,12.0
ME17 3LJ,ME17 3,7.0
SW17 9NG,SW17 9,17.0
SW6 2DR,SW6 2,15.0
OX14 3JH,OX14 3,9.0
SW4 6PR,SW4 6,15.0
N2 9LD,N2 9,12.0
TW13 4PA,TW13 4,15.0
RM11 1PN,RM11 1,15.0
SP11 7HY,SP11 7,7.0
GU51 3PR,GU51 3,11.0
W9 2AB,W9 2,17.0
E2 9JJ,E2 9,12.0
GU15 1JH,GU15 1,11.0
BN24 6AQ,BN24 6,11.0
RG1 1DA,RG1 1,1.0
SO22 5EG,SO22 5,9.0
CR0 7TA,CR0 7,21.0
W4 1PN,W4 1,10.0
BN16 1EY,BN16 1,11.0
ME2 3DP,ME2 3,17.0
SO24 9EF,SO24 9,9.0
BN17 7BS,BN17 7,11.0
GU34 1DQ,GU34 1,9.0
SM4 6DR,SM4 6,20.0
TN27 9NY,TN27 9,7.0
TN35 5PL,TN35 5,19.0
SW10 0YQ,SW10 0,12.0
SW19 6RA,SW19 6,16.0
NW4 3SL,NW4 3,10.0
SO41 9AH,SO41 9,9.0
HA9 6BX,HA9 6,11.0
IG6 2LN,IG6 2,15.0
OX12 9NG,OX12 9,10.0
DA1 5US,DA1 5,13.0
KT2 7AU,KT2 7,9.0
IG6 2LH,IG6 2,15.0
GU30 7GB,GU30 7,10.0
SL6 5DY,SL6 5,12.0
SE27 0SH,SE27 0,15.0
E17 4JJ,E17 4,17.0
PO33 3FF,PO33 3,14.0
SM5 2SS,SM5 2,16.0
EC1V 4NR,EC1V 4,6.0
HP12 3DG,HP12 3,12.0
KT22 7EY,KT22 7,8.0
E4 7DB,E4 7,15.0
KT24 6RW,KT24 6,7.0
RG4 6TU,RG4 6,12.0
HP10 0BH,HP10 0,9.0
CT19 5TZ,CT19 5,13.0
BN26 6SY,BN26 6,8.0
SS13 1LQ,SS13 1,14.0
SS8 9QJ,SS8 9,17.0
SW10 0LN,SW10 0,12.0
EC1V 1LJ,EC1V 1,1.0
TN38 9HT,TN38 9,14.0
RH19 4QR,RH19 4,9.0
TN30 7JT,TN30 7,9.0
SE9 4HP,SE9 4,18.0
W1W 6PH,W1W 6,5.0
W1F 9AA,W1F 9,
N16 8AU,N16 8,15.0
