postcode,easting,northing,river_level,tide_level,rainfall_level
CT6 6TH,621033,167197,0.22603125,1.36,0.016666667
SO40 9AB,435537,112639,0.465875,1.189,0.008333333
RH12 4TH,518103,131879,0.229604167,1.453,0.0
KT6 7JN,519374,165876,0.051541667,1.453,0.0
SE3 7YT,539671,176044,0.050947917,1.453,0.008333333
SE15 5RW,534012,176922,0.087645833,1.453,0.008333333
SE15 3BJ,535477,175149,0.087645833,1.453,0.008333333
RM8 2HB,547461,185373,-1.24275,1.289,0.0
GU1 3NX,500621,149578,1.285479167,1.189,0.0
N5 2UU,532220,185933,5.802614583,1.453,0.0
EC2V 6HD,532180,181329,5.802614583,1.453,0.0
PO38 1JF,456412,77528,0.14584375,1.189,0.0
SE1 0LA,532226,180035,5.802614583,1.453,0.008333333
RG9 1SD,476080,182361,0.143645833,1.189,0.0
TN11 0QN,560284,145455,1.194522222,1.453,0.0
CT12 4BA,631158,166335,0.22603125,1.36,0.0
CR2 0LR,534084,162332,0.058260417,1.453,0.008333333
KT22 9LZ,514527,155568,1.22046875,1.453,0.0
GU6 8LY,504749,139275,1.382364583,1.453,0.004166667
N3 3ED,524409,189453,0.083416667,1.453,0.0
RH2 0LD,526756,150804,0.53496875,1.453,0.029166667
HP5 1PF,496214,201162,0.400927083,1.189,0.016666667
BR8 8HH,550796,168044,0.139979167,1.289,0.004166667
IG8 7LY,541310,191914,0.401947917,1.289,0.0
ME15 6JQ,576333,155638,0.329989583,1.289,0.0
RG4 9HS,468621,180305,0.130697917,1.189,0.004166667
CT5 2AE,611463,167042,0.385541667,1.289,0.025
UB1 2PX,512831,181535,0.134510417,1.453,0.0
PO3 5BD,466094,101849,0.049885417,1.189,0.0
KT18 5QP,522745,158009,0.1145,1.453,0.008333333
RG14 7ST,448011,165735,0.997052083,1.189,0.0
KT15 1UQ,505008,164684,0.386197917,1.453,0.0
CT11 9NJ,637597,164658,0.163479167,1.36,0.0
PO40 9SF,433592,87999,0.139364583,0.743,0.0
CR0 7DJ,534580,166460,0.976458333,1.453,0.008333333
CT7 0DJ,630051,168582,0.22603125,1.36,0.008333333
CT7 0EG,630181,168281,0.22603125,1.36,0.008333333
SS4 3EZ,586307,192993,0.466239583,1.289,0.0
SE15 1AJ,535036,177398,0.087645833,1.453,0.008333333
OX29 4DU,444036,208338,0.102864583,1.189,0.0
RH12 3TP,514597,131408,0.229604167,1.453,0.0
TW9 4ES,519780,176423,0.2274375,1.453,0.0
SE23 3XB,534952,173026,0.090395833,1.453,0.008333333
BR1 4PU,540251,170935,0.035479167,1.453,0.008333333
GU24 8SZ,496663,163324,0.93428125,1.189,0.0
GU29 9EP,488050,121996,0.37025,1.189,0.0
EC4A 1BL,531195,181205,5.802614583,1.453,0.0
CT6 7SQ,616294,166860,0.558104167,1.36,0.008333333
TN38 9HN,579236,111481,0.203041667,1.453,0.008333333
W2 4LQ,525575,180837,1.24978125,1.453,0.0
N5 1AE,531688,185614,5.802614583,1.453,0.0
RH1 6HF,527637,149379,0.53496875,1.453,0.004166667
E15 4RY,539034,184089,0.401947917,1.289,0.0
SO31 6DE,451979,107704,0.144351064,1.189,0.0
GU9 9PY,485231,147427,0.185645833,1.189,0.0
W1W 8RH,529208,181446,0.795927083,1.453,0.0
TW3 1JL,513525,175742,0.171260417,1.453,0.0
SS2 4LQ,589421,186930,0.150145833,1.289,0.0
CT14 9UZ,636133,151696,0.163479167,1.36,0.004166667
DA14 4BA,546378,172058,0.304677083,1.289,0.0
HP19 8GZ,480165,213293,0.880864583,1.189,0.0
RG40 1BQ,481518,168988,0.4395625,1.189,0.0
HA6 2QJ,509168,190704,0.163802083,1.453,0.0
SE5 9JN,532207,176663,0.883375,1.453,0.008333333
CT21 5PW,616638,135113,0.316895833,1.36,0.0
CT6 8NG,616389,167556,0.558104167,1.36,0.016666667
SS9 3LF,585066,186817,0.466239583,1.289,0.0
SW14 8JS,520589,175449,0.2274375,1.453,0.0
RH15 9RG,530366,118362,0.16803125,1.453,0.008333333
BN23 5AS,564167,102338,0.076489583,1.453,0.0
E8 1HS,534966,185080,5.802614583,1.453,0.0
N3 1SU,524695,190251,0.246822917,1.453,0.0
CT20 2EA,622342,135601,0.061166667,1.36,0.0
HA3 7LN,516371,190443,0.073614583,1.453,0.0
N10 3QA,529072,189094,2.525052083,1.453,0.0
GU9 0EB,483514,149255,0.185645833,1.189,0.0
SS15 5BP,568494,189343,0.466239583,1.289,0.008333333
BN25 3QB,549191,99891,-5.02471875,1.453,0.008333333
TN17 1EB,571974,137522,0.2324375,1.289,0.008333333
NW6 7HQ,524767,183726,0.083416667,1.453,0.0
WC1X 9HS,530631,182961,5.802614583,1.453,0.0
DA15 7JJ,545360,172315,0.304677083,1.453,0.0
NW9 5FQ,521849,190079,0.1208125,1.453,0.0
RH16 3SL,534376,123416,0.138822917,1.453,0.004166667
N19 3YJ,529538,187641,2.525052083,1.453,0.0
RG40 1YD,481840,168750,0.4395625,1.189,0.0
BN1 2EH,531040,104624,1.18546875,1.453,0.016666667
SS2 4QS,590085,187053,0.150145833,1.289,0.0
CT21 4JY,612165,135276,0.316895833,1.36,0.004166667
SL5 0EG,495528,166765,0.93428125,1.189,0.0
ME3 0DJ,588829,176452,0.114541667,1.289,0.0
SS12 9QA,575056,192214,0.466239583,1.289,0.008333333
OX33 1YY,460396,205752,4.346166667,1.189,0.0
DA14 6DQ,546077,171529,0.304677083,1.453,0.0
KT23 4DH,513314,154490,1.22046875,1.453,0.0
KT17 2LN,522739,164469,0.209322917,1.453,0.008333333
RH13 0QU,511733,131812,0.229604167,1.453,0.0
SL9 9TP,500169,190766,0.0918125,1.189,0.0
TN14 7QR,544394,160050,0.105166667,1.453,0.0
SW1V 4DB,529188,178321,0.883375,1.453,0.0
